Avr_better,Avr,Avr_pior
-216,-406.88,-482
-191,-369.76,-478
-251,-377.28,-502
-224,-355.48,-466
144,-332.24,-491
-210,-325.68,-471
153,-303.48,-450
285,-273.2,-469
-193,-319.64,-482
93,-299.12,-457
142,-313.08,-485
145,-288.64,-448
-103,-305.36,-409
-232,-329.72,-467
223,-265.68,-400
72,-317.44,-466
347,-297.88,-469
5,-305.68,-473
650,-259.52,-402
-102,-308.44,-408
-142,-286.56,-453
222,-292.8,-432
204,-301.64,-447
138,-293.4,-406
227,-280.36,-419
-146,-313.72,-452
-185,-297.32,-385
-120,-284.12,-383
212,-284.24,-427
141,-277.56,-439
-131,-295.28,-442
-127,-307.0,-409
142,-285.92,-449
-31,-301.4,-371
171,-295.32,-522
-192,-299.56,-483
305,-248.8,-416
-235,-318.88,-423
184,-291.76,-411
-157,-315.16,-541
-253,-344.6,-472
141,-285.08,-460
-175,-313.24,-397
-151,-301.48,-386
-101,-275.72,-369
-190,-352.28,-500
