numberJogos	 episode	 reward	 rewardAccumulative
0	0	5	5
1	1	0	0
1	2	9.0	9.0
1	3	14.0	23.0
1	4	9.0	32.0
1	5	9.0	41.0
1	6	-1.0	40.0
1	7	-1.0	39.0
1	8	-1.0	38.0
1	9	-1.0	37.0
1	10	-1.0	36.0
1	11	-1.0	35.0
1	12	-1.0	34.0
1	13	-1.0	33.0
1	14	-1.0	32.0
1	15	-1.0	31.0
1	16	-1.0	30.0
1	17	-1.0	29.0
1	18	-1.0	28.0
1	19	-1.0	27.0
1	20	-1.0	26.0
1	21	-1.0	25.0
1	22	-1.0	24.0
1	23	-1.0	23.0
1	24	-1.0	22.0
1	25	-1.0	21.0
1	26	-1.0	20.0
1	27	-1.0	19.0
1	28	-1.0	18.0
1	29	-1.0	17.0
1	30	-1.0	16.0
1	31	-1.0	15.0
1	32	-1.0	14.0
1	33	-1.0	13.0
1	34	-1.0	12.0
1	35	-1.0	11.0
1	36	-1.0	10.0
1	37	-1.0	9.0
1	38	-1.0	8.0
1	39	-51.0	-43.0
1	40	-51.0	-94.0
1	41	4.0	-90.0
2	42	-1.0	-1.0
2	43	9.0	8.0
2	44	14.0	22.0
2	45	9.0	31.0
2	46	9.0	40.0
2	47	-1.0	39.0
2	48	-1.0	38.0
2	49	-1.0	37.0
2	50	-1.0	36.0
2	51	-1.0	35.0
2	52	-1.0	34.0
2	53	-1.0	33.0
2	54	-1.0	32.0
2	55	-1.0	31.0
2	56	-1.0	30.0
2	57	-1.0	29.0
2	58	-1.0	28.0
2	59	-1.0	27.0
2	60	-1.0	26.0
2	61	-1.0	25.0
2	62	-1.0	24.0
2	63	4.0	28.0
2	64	4.0	32.0
3	65	-1.0	-1.0
3	66	9.0	8.0
3	67	14.0	22.0
3	68	9.0	31.0
3	69	9.0	40.0
3	70	-1.0	39.0
3	71	-1.0	38.0
3	72	-1.0	37.0
3	73	-1.0	36.0
3	74	-1.0	35.0
3	75	-1.0	34.0
3	76	-1.0	33.0
3	77	-1.0	32.0
3	78	-1.0	31.0
3	79	-1.0	30.0
3	80	-1.0	29.0
3	81	-1.0	28.0
3	82	-1.0	27.0
3	83	-1.0	26.0
3	84	-1.0	25.0
3	85	-1.0	24.0
3	86	-1.0	23.0
3	87	-51.0	-28.0
3	88	-51.0	-79.0
3	89	4.0	-75.0
4	90	-1.0	-1.0
4	91	9.0	8.0
4	92	14.0	22.0
4	93	9.0	31.0
4	94	9.0	40.0
4	95	-1.0	39.0
4	96	-1.0	38.0
4	97	-1.0	37.0
4	98	-1.0	36.0
4	99	-1.0	35.0
4	100	-1.0	34.0
4	101	-1.0	33.0
4	102	-1.0	32.0
4	103	-1.0	31.0
4	104	-1.0	30.0
4	105	-1.0	29.0
4	106	-1.0	28.0
4	107	-1.0	27.0
4	108	-1.0	26.0
4	109	-1.0	25.0
4	110	-1.0	24.0
4	111	-1.0	23.0
4	112	-1.0	22.0
4	113	-1.0	21.0
4	114	-1.0	20.0
4	115	-1.0	19.0
4	116	-1.0	18.0
4	117	-1.0	17.0
4	118	-1.0	16.0
4	119	-1.0	15.0
4	120	-1.0	14.0
4	121	-1.0	13.0
4	122	-1.0	12.0
4	123	-1.0	11.0
4	124	-1.0	10.0
4	125	-1.0	9.0
4	126	-1.0	8.0
4	127	-1.0	7.0
4	128	-51.0	-44.0
4	129	-51.0	-95.0
4	130	4.0	-91.0
5	131	-1.0	-1.0
5	132	9.0	8.0
5	133	14.0	22.0
5	134	9.0	31.0
5	135	9.0	40.0
5	136	-1.0	39.0
5	137	-1.0	38.0
5	138	-1.0	37.0
5	139	-1.0	36.0
5	140	4.0	40.0
5	141	4.0	44.0
6	142	-1.0	-1.0
6	143	9.0	8.0
6	144	14.0	22.0
6	145	9.0	31.0
6	146	9.0	40.0
6	147	-1.0	39.0
6	148	-1.0	38.0
6	149	-1.0	37.0
6	150	-1.0	36.0
6	151	-1.0	35.0
6	152	-1.0	34.0
6	153	-1.0	33.0
6	154	-1.0	32.0
6	155	-1.0	31.0
6	156	-1.0	30.0
6	157	-1.0	29.0
6	158	-1.0	28.0
6	159	-1.0	27.0
6	160	-1.0	26.0
6	161	-1.0	25.0
6	162	-1.0	24.0
6	163	-1.0	23.0
6	164	-1.0	22.0
6	165	-1.0	21.0
6	166	-1.0	20.0
6	167	-1.0	19.0
6	168	-1.0	18.0
6	169	4.0	22.0
6	170	4.0	26.0
7	171	-1.0	-1.0
7	172	9.0	8.0
7	173	14.0	22.0
7	174	9.0	31.0
7	175	9.0	40.0
7	176	-1.0	39.0
7	177	-1.0	38.0
7	178	-1.0	37.0
7	179	-1.0	36.0
7	180	-1.0	35.0
7	181	-1.0	34.0
7	182	-1.0	33.0
7	183	-1.0	32.0
7	184	-1.0	31.0
7	185	-1.0	30.0
7	186	-1.0	29.0
7	187	-1.0	28.0
7	188	-1.0	27.0
7	189	-1.0	26.0
7	190	-1.0	25.0
7	191	-1.0	24.0
7	192	-1.0	23.0
7	193	-51.0	-28.0
7	194	-51.0	-79.0
7	195	4.0	-75.0
8	196	-1.0	-1.0
8	197	9.0	8.0
8	198	14.0	22.0
8	199	9.0	31.0
8	200	9.0	40.0
8	201	-1.0	39.0
8	202	-1.0	38.0
8	203	-1.0	37.0
8	204	-1.0	36.0
8	205	-1.0	35.0
8	206	-1.0	34.0
8	207	-1.0	33.0
8	208	-1.0	32.0
8	209	-1.0	31.0
8	210	-1.0	30.0
8	211	-1.0	29.0
8	212	-1.0	28.0
8	213	-1.0	27.0
8	214	-1.0	26.0
8	215	-1.0	25.0
8	216	-1.0	24.0
8	217	-1.0	23.0
8	218	-1.0	22.0
8	219	-1.0	21.0
8	220	-1.0	20.0
8	221	-1.0	19.0
8	222	-1.0	18.0
8	223	-1.0	17.0
8	224	-1.0	16.0
8	225	-1.0	15.0
8	226	-1.0	14.0
8	227	-1.0	13.0
8	228	-1.0	12.0
8	229	-1.0	11.0
8	230	-1.0	10.0
8	231	4.0	14.0
8	232	4.0	18.0
9	233	-1.0	-1.0
9	234	9.0	8.0
9	235	14.0	22.0
9	236	9.0	31.0
9	237	9.0	40.0
9	238	-1.0	39.0
9	239	-1.0	38.0
9	240	-1.0	37.0
9	241	-1.0	36.0
9	242	-1.0	35.0
9	243	-1.0	34.0
9	244	-1.0	33.0
9	245	-1.0	32.0
9	246	-1.0	31.0
9	247	-1.0	30.0
