numberJogos	 episode	 reward	 rewardAccumulative
0	0	5	5
1	1	0	0
1	2	-41.0	-41.0
1	3	14.0	-27.0
1	4	-1.0	-28.0
1	5	-1.0	-29.0
1	6	4.0	-25.0
1	7	-1.0	-26.0
1	8	4.0	-22.0
1	9	-1.0	-23.0
1	10	-1.0	-24.0
1	11	-1.0	-25.0
1	12	4.0	-21.0
1	13	9.0	-12.0
1	14	-51.0	-63.0
1	15	-51.0	-114.0
1	16	-1.0	-115.0
1	17	-1.0	-116.0
1	18	-1.0	-117.0
1	19	9.0	-108.0
1	20	9.0	-99.0
1	21	-1.0	-100.0
1	22	-51.0	-151.0
1	23	4.0	-147.0
1	24	-1.0	-148.0
1	25	-1.0	-149.0
1	26	-1.0	-150.0
1	27	-51.0	-201.0
1	28	-1.0	-202.0
1	29	-1.0	-203.0
1	30	-1.0	-204.0
1	31	-1.0	-205.0
1	32	-1.0	-206.0
1	33	-1.0	-207.0
1	34	-51.0	-258.0
1	35	-51.0	-309.0
1	36	-1.0	-310.0
1	37	-1.0	-311.0
1	38	-1.0	-312.0
1	39	-1.0	-313.0
1	40	-51.0	-364.0
1	41	-1.0	-365.0
1	42	-51.0	-416.0
1	43	-1.0	-417.0
1	44	-1.0	-418.0
1	45	-1.0	-419.0
1	46	-1.0	-420.0
1	47	-1.0	-421.0
1	48	-1.0	-422.0
1	49	-1.0	-423.0
1	50	-1.0	-424.0
1	51	-1.0	-425.0
1	52	4.0	-421.0
1	53	-51.0	-472.0
1	54	9.0	-463.0
1	55	-1.0	-464.0
1	56	-51.0	-515.0
1	57	-51.0	-566.0
1	58	-51.0	-617.0
1	59	4.0	-613.0
1	60	-1.0	-614.0
1	61	-51.0	-665.0
1	62	-1.0	-666.0
1	63	-51.0	-717.0
1	64	-51.0	-768.0
1	65	-51.0	-819.0
1	66	-1.0	-820.0
1	67	-51.0	-871.0
1	68	-51.0	-922.0
1	69	-1.0	-923.0
1	70	-1.0	-924.0
1	71	-1.0	-925.0
1	72	-51.0	-976.0
1	73	-1.0	-977.0
1	74	4.0	-973.0
1	75	-1.0	-974.0
1	76	-1.0	-975.0
1	77	-1.0	-976.0
1	78	9.0	-967.0
1	79	-51.0	-1018.0
1	80	-1.0	-1019.0
1	81	4.0	-1015.0
1	82	-41.0	-1056.0
1	83	-1.0	-1057.0
1	84	-1.0	-1058.0
1	85	-51.0	-1109.0
1	86	-51.0	-1160.0
1	87	-1.0	-1161.0
1	88	-51.0	-1212.0
1	89	-1.0	-1213.0
1	90	-51.0	-1264.0
1	91	-1.0	-1265.0
1	92	-1.0	-1266.0
1	93	-1.0	-1267.0
1	94	-1.0	-1268.0
1	95	-1.0	-1269.0
1	96	-1.0	-1270.0
1	97	-1.0	-1271.0
1	98	-51.0	-1322.0
1	99	-1.0	-1323.0
1	100	-1.0	-1324.0
1	101	4.0	-1320.0
2	102	4.0	4.0
2	103	9.0	13.0
2	104	-41.0	-28.0
2	105	-51.0	-79.0
2	106	-51.0	-130.0
2	107	4.0	-126.0
2	108	-1.0	-127.0
2	109	9.0	-118.0
2	110	-51.0	-169.0
2	111	-1.0	-170.0
2	112	-51.0	-221.0
2	113	-1.0	-222.0
2	114	-1.0	-223.0
2	115	-51.0	-274.0
2	116	-1.0	-275.0
2	117	-1.0	-276.0
2	118	-1.0	-277.0
2	119	-1.0	-278.0
2	120	-41.0	-319.0
2	121	14.0	-305.0
2	122	-1.0	-306.0
2	123	-1.0	-307.0
2	124	-51.0	-358.0
2	125	-1.0	-359.0
2	126	-51.0	-410.0
2	127	-1.0	-411.0
2	128	-1.0	-412.0
2	129	-1.0	-413.0
2	130	4.0	-409.0
2	131	4.0	-405.0
2	132	4.0	-401.0
2	133	-51.0	-452.0
2	134	-1.0	-453.0
2	135	-1.0	-454.0
2	136	-1.0	-455.0
2	137	9.0	-446.0
2	138	4.0	-442.0
2	139	-41.0	-483.0
2	140	9.0	-474.0
2	141	-1.0	-475.0
2	142	4.0	-471.0
2	143	-1.0	-472.0
2	144	-41.0	-513.0
2	145	4.0	-509.0
3	146	-1.0	-1.0
3	147	-41.0	-42.0
3	148	-51.0	-93.0
3	149	4.0	-89.0
3	150	4.0	-85.0
3	151	4.0	-81.0
3	152	-51.0	-132.0
3	153	-1.0	-133.0
3	154	-51.0	-184.0
3	155	4.0	-180.0
3	156	4.0	-176.0
3	157	-1.0	-177.0
3	158	-1.0	-178.0
3	159	14.0	-164.0
3	160	-51.0	-215.0
3	161	-51.0	-266.0
3	162	-51.0	-317.0
3	163	-1.0	-318.0
3	164	-51.0	-369.0
3	165	-51.0	-420.0
3	166	-1.0	-421.0
3	167	-1.0	-422.0
3	168	-41.0	-463.0
3	169	-41.0	-504.0
3	170	-1.0	-505.0
3	171	-51.0	-556.0
3	172	14.0	-542.0
3	173	-1.0	-543.0
3	174	-51.0	-594.0
3	175	-51.0	-645.0
3	176	-51.0	-696.0
3	177	4.0	-692.0
3	178	-51.0	-743.0
3	179	-51.0	-794.0
3	180	-51.0	-845.0
3	181	-1.0	-846.0
3	182	-1.0	-847.0
3	183	-1.0	-848.0
3	184	9.0	-839.0
3	185	-41.0	-880.0
3	186	-1.0	-881.0
3	187	4.0	-877.0
3	188	-41.0	-918.0
3	189	-51.0	-969.0
3	190	-1.0	-970.0
3	191	4.0	-966.0
3	192	-1.0	-967.0
3	193	-1.0	-968.0
3	194	-51.0	-1019.0
3	195	-1.0	-1020.0
3	196	-1.0	-1021.0
3	197	4.0	-1017.0
4	198	-1.0	-1.0
4	199	14.0	13.0
4	200	-1.0	12.0
4	201	-1.0	11.0
4	202	9.0	20.0
4	203	9.0	29.0
4	204	4.0	33.0
4	205	-41.0	-8.0
4	206	-1.0	-9.0
4	207	-51.0	-60.0
4	208	-51.0	-111.0
4	209	-1.0	-112.0
4	210	-51.0	-163.0
4	211	-41.0	-204.0
4	212	4.0	-200.0
4	213	-1.0	-201.0
4	214	-1.0	-202.0
4	215	-1.0	-203.0
4	216	-1.0	-204.0
4	217	-51.0	-255.0
4	218	4.0	-251.0
4	219	-51.0	-302.0
4	220	-1.0	-303.0
4	221	-1.0	-304.0
4	222	-1.0	-305.0
4	223	4.0	-301.0
4	224	-1.0	-302.0
4	225	9.0	-293.0
4	226	-1.0	-294.0
4	227	-1.0	-295.0
4	228	-51.0	-346.0
4	229	-51.0	-397.0
4	230	-1.0	-398.0
4	231	-1.0	-399.0
4	232	-51.0	-450.0
4	233	-51.0	-501.0
4	234	-51.0	-552.0
4	235	4.0	-548.0
4	236	-1.0	-549.0
4	237	14.0	-535.0
4	238	9.0	-526.0
4	239	4.0	-522.0
4	240	-51.0	-573.0
4	241	-51.0	-624.0
4	242	-51.0	-675.0
4	243	-51.0	-726.0
4	244	-1.0	-727.0
4	245	-1.0	-728.0
4	246	-1.0	-729.0
4	247	-1.0	-730.0
4	248	-1.0	-731.0
4	249	-1.0	-732.0
4	250	-1.0	-733.0
4	251	-51.0	-784.0
4	252	-1.0	-785.0
4	253	-51.0	-836.0
4	254	9.0	-827.0
4	255	-51.0	-878.0
4	256	-41.0	-919.0
4	257	-51.0	-970.0
4	258	-1.0	-971.0
4	259	-1.0	-972.0
4	260	-1.0	-973.0
4	261	-1.0	-974.0
4	262	-1.0	-975.0
4	263	-1.0	-976.0
4	264	-51.0	-1027.0
4	265	-1.0	-1028.0
4	266	-51.0	-1079.0
4	267	-1.0	-1080.0
4	268	-1.0	-1081.0
4	269	-1.0	-1082.0
4	270	-1.0	-1083.0
4	271	-1.0	-1084.0
4	272	-1.0	-1085.0
4	273	-1.0	-1086.0
4	274	-51.0	-1137.0
4	275	-1.0	-1138.0
4	276	-1.0	-1139.0
4	277	-1.0	-1140.0
4	278	-51.0	-1191.0
4	279	-1.0	-1192.0
4	280	-1.0	-1193.0
4	281	-1.0	-1194.0
4	282	-1.0	-1195.0
4	283	-51.0	-1246.0
4	284	-51.0	-1297.0
4	285	-51.0	-1348.0
4	286	4.0	-1344.0
4	287	-51.0	-1395.0
4	288	-51.0	-1446.0
4	289	-1.0	-1447.0
4	290	-1.0	-1448.0
4	291	-1.0	-1449.0
4	292	-1.0	-1450.0
4	293	-51.0	-1501.0
4	294	-51.0	-1552.0
4	295	-1.0	-1553.0
4	296	-1.0	-1554.0
