numberJogos	 episode	 reward	 rewardAccumulative
0	0	-50	-50
1	1	0	0
1	2	-50.0	-50.0
1	3	9.0	-41.0
1	4	0.0	-41.0
1	5	0.0	-41.0
1	6	-50.0	-91.0
1	7	0.0	-91.0
1	8	-50.0	-141.0
1	9	0.0	-141.0
1	10	0.0	-141.0
1	11	0.0	-141.0
1	12	0.0	-141.0
1	13	0.0	-141.0
1	14	9.0	-132.0
1	15	0.0	-132.0
1	16	-50.0	-182.0
1	17	0.0	-182.0
1	18	-50.0	-232.0
1	19	0.0	-232.0
1	20	0.0	-232.0
1	21	0.0	-232.0
1	22	-50.0	-282.0
1	23	0.0	-282.0
1	24	0.0	-282.0
1	25	0.0	-282.0
1	26	-50.0	-332.0
1	27	0.0	-332.0
1	28	-50.0	-382.0
1	29	0.0	-382.0
1	30	0.0	-382.0
2	31	0.0	0.0
2	32	0.0	0.0
2	33	0.0	0.0
2	34	9.0	9.0
2	35	9.0	18.0
2	36	9.0	27.0
2	37	9.0	36.0
2	38	0.0	36.0
2	39	0.0	36.0
2	40	0.0	36.0
2	41	0.0	36.0
2	42	0.0	36.0
2	43	0.0	36.0
2	44	-50.0	-14.0
2	45	0.0	-14.0
2	46	0.0	-14.0
2	47	-50.0	-64.0
2	48	-50.0	-114.0
2	49	0.0	-114.0
2	50	0.0	-114.0
2	51	-50.0	-164.0
2	52	0.0	-164.0
2	53	-50.0	-214.0
2	54	-50.0	-264.0
2	55	0.0	-264.0
2	56	0.0	-264.0
2	57	0.0	-264.0
2	58	0.0	-264.0
2	59	-50.0	-314.0
2	60	-50.0	-364.0
2	61	0.0	-364.0
2	62	18.0	-346.0
2	63	0.0	-346.0
3	64	0.0	0.0
3	65	-50.0	-50.0
3	66	-41.0	-91.0
3	67	0.0	-91.0
3	68	-50.0	-141.0
3	69	-50.0	-191.0
3	70	0.0	-191.0
3	71	0.0	-191.0
3	72	0.0	-191.0
3	73	-41.0	-232.0
3	74	0.0	-232.0
3	75	-50.0	-282.0
3	76	-50.0	-332.0
3	77	-50.0	-382.0
3	78	-50.0	-432.0
3	79	-50.0	-482.0
3	80	0.0	-482.0
3	81	-50.0	-532.0
3	82	0.0	-532.0
3	83	0.0	-532.0
3	84	0.0	-532.0
3	85	0.0	-532.0
3	86	9.0	-523.0
3	87	-50.0	-573.0
3	88	0.0	-573.0
3	89	-50.0	-623.0
3	90	0.0	-623.0
3	91	-50.0	-673.0
3	92	-50.0	-723.0
3	93	0.0	-723.0
3	94	0.0	-723.0
3	95	0.0	-723.0
3	96	0.0	-723.0
3	97	-50.0	-773.0
3	98	0.0	-773.0
3	99	-50.0	-823.0
3	100	0.0	-823.0
3	101	0.0	-823.0
3	102	9.0	-814.0
3	103	0.0	-814.0
3	104	0.0	-814.0
3	105	0.0	-814.0
3	106	-26.0	-840.0
3	107	9.0	-831.0
3	108	0.0	-831.0
3	109	0.0	-831.0
3	110	0.0	-831.0
3	111	9.0	-822.0
3	112	9.0	-813.0
3	113	0.0	-813.0
3	114	0.0	-813.0
3	115	-50.0	-863.0
3	116	-50.0	-913.0
3	117	0.0	-913.0
3	118	-50.0	-963.0
3	119	-50.0	-1013.0
3	120	0.0	-1013.0
3	121	0.0	-1013.0
3	122	-50.0	-1063.0
3	123	0.0	-1063.0
3	124	0.0	-1063.0
3	125	149.0	-914.0
3	126	0.0	-914.0
3	127	-50.0	-964.0
3	128	-50.0	-1014.0
3	129	-50.0	-1064.0
3	130	-50.0	-1114.0
3	131	-50.0	-1164.0
3	132	-50.0	-1214.0
3	133	-50.0	-1264.0
3	134	-50.0	-1314.0
3	135	0.0	-1314.0
3	136	0.0	-1314.0
3	137	0.0	-1314.0
3	138	0.0	-1314.0
3	139	9.0	-1305.0
3	140	18.0	-1287.0
3	141	0.0	-1287.0
3	142	-41.0	-1328.0
3	143	-50.0	-1378.0
3	144	0.0	-1378.0
3	145	0.0	-1378.0
3	146	0.0	-1378.0
3	147	0.0	-1378.0
3	148	0.0	-1378.0
3	149	-50.0	-1428.0
3	150	0.0	-1428.0
3	151	0.0	-1428.0
3	152	0.0	-1428.0
3	153	-41.0	-1469.0
3	154	-42.0	-1511.0
3	155	0.0	-1511.0
4	156	0.0	0.0
4	157	-41.0	-41.0
4	158	9.0	-32.0
4	159	-50.0	-82.0
4	160	-50.0	-132.0
4	161	-50.0	-182.0
4	162	0.0	-182.0
4	163	0.0	-182.0
4	164	0.0	-182.0
4	165	0.0	-182.0
4	166	0.0	-182.0
4	167	-41.0	-223.0
4	168	0.0	-223.0
4	169	-50.0	-273.0
4	170	-50.0	-323.0
4	171	-50.0	-373.0
4	172	0.0	-373.0
4	173	-50.0	-423.0
4	174	0.0	-423.0
4	175	0.0	-423.0
4	176	-50.0	-473.0
4	177	0.0	-473.0
4	178	-50.0	-523.0
