Avr_better,Avr,Avr_pior
-57,-387.64,-562
3,-372.64,-523
222,-341.76,-531
-71,-342.44,-552
87,-340.04,-598
413,-258.2,-574
186,-205.92,-488
180,-119.2,-464
375,-68.08,-590
334,-2.16,-477
490,-73.84,-514
789,-5.68,-599
506,-41.92,-475
427,-35.04,-480
567,-2.2,-529
265,-58.72,-435
234,-99.04,-459
524,-65.72,-513
255,-32.96,-496
466,-60.52,-586
537,-54.88,-507
116,-111.12,-487
174,-53.96,-561
316,-61.6,-571
328,-53.04,-460
307,-29.28,-535
304,-36.32,-446
461,-107.52,-559
334,-37.8,-523
264,-62.68,-472
326,-90.08,-514
380,-13.28,-437
162,-64.28,-494
502,-34.96,-514
260,-59.28,-463
254,-121.2,-571
406,-39.64,-528
208,-89.52,-505
341,-39.08,-490
580,-35.84,-474
428,-6.56,-511
365,-31.36,-446
444,26.16,-597
468,-20.76,-531
299,-32.0,-495
422,7.08,-473
279,-34.68,-597
227,-59.76,-452
244,1.44,-609
239,-38.48,-538
