numberJogos	 episode	 reward	 rewardAccumulative
0	0	5	5
1	1	0	0
1	2	9.0	9.0
1	3	9.0	18.0
1	4	14.0	32.0
1	5	9.0	41.0
1	6	4.0	45.0
1	7	-1.0	44.0
1	8	4.0	48.0
1	9	-1.0	47.0
1	10	4.0	51.0
1	11	-1.0	50.0
1	12	4.0	54.0
1	13	-1.0	53.0
1	14	4.0	57.0
1	15	-1.0	56.0
1	16	4.0	60.0
1	17	-1.0	59.0
1	18	4.0	63.0
1	19	-1.0	62.0
1	20	4.0	66.0
1	21	-1.0	65.0
1	22	4.0	69.0
1	23	-1.0	68.0
1	24	4.0	72.0
1	25	-1.0	71.0
1	26	4.0	75.0
1	27	-1.0	74.0
1	28	4.0	78.0
1	29	-1.0	77.0
1	30	4.0	81.0
1	31	-1.0	80.0
1	32	4.0	84.0
1	33	-1.0	83.0
1	34	4.0	87.0
1	35	-1.0	86.0
1	36	4.0	90.0
1	37	-1.0	89.0
1	38	4.0	93.0
1	39	-1.0	92.0
1	40	4.0	96.0
1	41	-1.0	95.0
1	42	4.0	99.0
1	43	-1.0	98.0
1	44	4.0	102.0
1	45	-1.0	101.0
1	46	4.0	105.0
1	47	-1.0	104.0
1	48	4.0	108.0
1	49	-1.0	107.0
1	50	4.0	111.0
1	51	-1.0	110.0
1	52	4.0	114.0
1	53	-1.0	113.0
1	54	4.0	117.0
1	55	-1.0	116.0
1	56	4.0	120.0
1	57	-1.0	119.0
1	58	4.0	123.0
1	59	-1.0	122.0
1	60	4.0	126.0
1	61	-1.0	125.0
1	62	4.0	129.0
1	63	-1.0	128.0
1	64	4.0	132.0
1	65	-1.0	131.0
1	66	4.0	135.0
1	67	-1.0	134.0
1	68	4.0	138.0
1	69	-1.0	137.0
1	70	4.0	141.0
1	71	-1.0	140.0
1	72	4.0	144.0
1	73	-1.0	143.0
1	74	4.0	147.0
1	75	-1.0	146.0
1	76	4.0	150.0
1	77	-1.0	149.0
1	78	4.0	153.0
1	79	-1.0	152.0
1	80	4.0	156.0
1	81	-1.0	155.0
1	82	4.0	159.0
1	83	-1.0	158.0
1	84	4.0	162.0
1	85	-1.0	161.0
1	86	4.0	165.0
1	87	-1.0	164.0
1	88	4.0	168.0
1	89	-1.0	167.0
1	90	4.0	171.0
1	91	-1.0	170.0
1	92	4.0	174.0
1	93	-1.0	173.0
1	94	4.0	177.0
1	95	-1.0	176.0
1	96	4.0	180.0
1	97	-1.0	179.0
1	98	4.0	183.0
1	99	-1.0	182.0
1	100	4.0	186.0
1	101	-1.0	185.0
1	102	4.0	189.0
1	103	-1.0	188.0
1	104	4.0	192.0
1	105	-1.0	191.0
1	106	4.0	195.0
1	107	-1.0	194.0
1	108	4.0	198.0
1	109	-1.0	197.0
1	110	4.0	201.0
1	111	-1.0	200.0
1	112	4.0	204.0
1	113	-1.0	203.0
1	114	4.0	207.0
1	115	-1.0	206.0
1	116	4.0	210.0
1	117	-1.0	209.0
1	118	4.0	213.0
1	119	-1.0	212.0
1	120	4.0	216.0
1	121	-1.0	215.0
1	122	4.0	219.0
1	123	-1.0	218.0
1	124	4.0	222.0
1	125	-1.0	221.0
1	126	4.0	225.0
1	127	-1.0	224.0
1	128	4.0	228.0
1	129	-1.0	227.0
1	130	4.0	231.0
1	131	-1.0	230.0
1	132	4.0	234.0
1	133	-1.0	233.0
1	134	4.0	237.0
1	135	-1.0	236.0
1	136	4.0	240.0
1	137	-1.0	239.0
1	138	4.0	243.0
1	139	-1.0	242.0
1	140	4.0	246.0
1	141	-1.0	245.0
1	142	4.0	249.0
1	143	-1.0	248.0
1	144	4.0	252.0
1	145	-1.0	251.0
1	146	4.0	255.0
1	147	-1.0	254.0
1	148	4.0	258.0
1	149	-1.0	257.0
1	150	4.0	261.0
1	151	-1.0	260.0
1	152	-1.0	259.0
1	153	-1.0	258.0
1	154	9.0	267.0
1	155	9.0	276.0
1	156	9.0	285.0
1	157	9.0	294.0
1	158	9.0	303.0
1	159	9.0	312.0
1	160	9.0	321.0
1	161	14.0	335.0
2	162	9.0	9.0
2	163	9.0	18.0
2	164	9.0	27.0
2	165	14.0	41.0
2	166	9.0	50.0
2	167	4.0	54.0
2	168	-1.0	53.0
2	169	4.0	57.0
2	170	-1.0	56.0
2	171	4.0	60.0
2	172	-1.0	59.0
2	173	4.0	63.0
2	174	-1.0	62.0
2	175	4.0	66.0
2	176	-1.0	65.0
2	177	4.0	69.0
2	178	-1.0	68.0
2	179	4.0	72.0
2	180	-1.0	71.0
2	181	4.0	75.0
2	182	-1.0	74.0
2	183	4.0	78.0
2	184	-1.0	77.0
2	185	4.0	81.0
2	186	-1.0	80.0
2	187	4.0	84.0
2	188	-1.0	83.0
2	189	4.0	87.0
2	190	-1.0	86.0
2	191	4.0	90.0
2	192	-1.0	89.0
2	193	4.0	93.0
2	194	-1.0	92.0
2	195	4.0	96.0
2	196	-1.0	95.0
2	197	4.0	99.0
2	198	-1.0	98.0
2	199	4.0	102.0
2	200	-1.0	101.0
2	201	4.0	105.0
2	202	-1.0	104.0
2	203	4.0	108.0
2	204	-1.0	107.0
2	205	4.0	111.0
2	206	-1.0	110.0
2	207	4.0	114.0
2	208	-1.0	113.0
2	209	4.0	117.0
2	210	-1.0	116.0
2	211	4.0	120.0
2	212	-1.0	119.0
2	213	4.0	123.0
2	214	-1.0	122.0
2	215	4.0	126.0
2	216	-1.0	125.0
2	217	4.0	129.0
2	218	-1.0	128.0
2	219	4.0	132.0
2	220	-1.0	131.0
2	221	4.0	135.0
2	222	-1.0	134.0
2	223	4.0	138.0
2	224	-1.0	137.0
2	225	4.0	141.0
2	226	-1.0	140.0
2	227	4.0	144.0
2	228	-1.0	143.0
2	229	-1.0	142.0
2	230	-1.0	141.0
2	231	9.0	150.0
2	232	9.0	159.0
2	233	9.0	168.0
2	234	9.0	177.0
2	235	9.0	186.0
2	236	9.0	195.0
2	237	9.0	204.0
2	238	14.0	218.0
3	239	9.0	9.0
3	240	9.0	18.0
3	241	9.0	27.0
3	242	14.0	41.0
3	243	9.0	50.0
3	244	4.0	54.0
3	245	-1.0	53.0
3	246	4.0	57.0
3	247	-1.0	56.0
3	248	4.0	60.0
3	249	-1.0	59.0
3	250	4.0	63.0
3	251	-1.0	62.0
3	252	4.0	66.0
3	253	-1.0	65.0
3	254	4.0	69.0
3	255	-1.0	68.0
3	256	4.0	72.0
3	257	-1.0	71.0
3	258	4.0	75.0
3	259	-1.0	74.0
3	260	4.0	78.0
3	261	-1.0	77.0
3	262	4.0	81.0
3	263	-1.0	80.0
3	264	4.0	84.0
3	265	-1.0	83.0
3	266	4.0	87.0
3	267	-1.0	86.0
3	268	4.0	90.0
3	269	-1.0	89.0
3	270	4.0	93.0
3	271	-1.0	92.0
3	272	4.0	96.0
3	273	-1.0	95.0
3	274	4.0	99.0
3	275	-1.0	98.0
3	276	4.0	102.0
3	277	-1.0	101.0
3	278	4.0	105.0
3	279	-1.0	104.0
3	280	4.0	108.0
3	281	-1.0	107.0
3	282	4.0	111.0
3	283	-1.0	110.0
3	284	4.0	114.0
3	285	-1.0	113.0
3	286	4.0	117.0
3	287	-1.0	116.0
3	288	4.0	120.0
3	289	-1.0	119.0
3	290	4.0	123.0
3	291	-1.0	122.0
3	292	4.0	126.0
3	293	-1.0	125.0
3	294	4.0	129.0
3	295	-1.0	128.0
3	296	4.0	132.0
3	297	-1.0	131.0
3	298	4.0	135.0
3	299	-1.0	134.0
3	300	4.0	138.0
3	301	-1.0	137.0
3	302	4.0	141.0
3	303	-1.0	140.0
3	304	4.0	144.0
3	305	-1.0	143.0
3	306	4.0	147.0
3	307	-1.0	146.0
3	308	4.0	150.0
3	309	-1.0	149.0
3	310	4.0	153.0
3	311	-1.0	152.0
3	312	4.0	156.0
3	313	-1.0	155.0
3	314	4.0	159.0
3	315	-1.0	158.0
3	316	4.0	162.0
3	317	-1.0	161.0
3	318	4.0	165.0
3	319	-1.0	164.0
3	320	4.0	168.0
3	321	-1.0	167.0
3	322	4.0	171.0
3	323	-1.0	170.0
3	324	4.0	174.0
3	325	-1.0	173.0
3	326	4.0	177.0
3	327	-1.0	176.0
3	328	4.0	180.0
3	329	-1.0	179.0
3	330	4.0	183.0
3	331	-1.0	182.0
3	332	4.0	186.0
3	333	-1.0	185.0
