numberJogos	 episode	 reward	 rewardAccumulative
0	0	5	5
1	1	0	0
1	2	14.0	14.0
1	3	9.0	23.0
1	4	4.0	27.0
1	5	-1.0	26.0
1	6	4.0	30.0
1	7	-1.0	29.0
1	8	4.0	33.0
1	9	-1.0	32.0
1	10	4.0	36.0
1	11	-1.0	35.0
1	12	-1.0	34.0
1	13	-1.0	33.0
1	14	9.0	42.0
1	15	9.0	51.0
1	16	9.0	60.0
1	17	9.0	69.0
1	18	9.0	78.0
1	19	9.0	87.0
1	20	14.0	101.0
2	21	9.0	9.0
2	22	14.0	23.0
2	23	9.0	32.0
2	24	4.0	36.0
2	25	-1.0	35.0
2	26	4.0	39.0
2	27	-1.0	38.0
2	28	4.0	42.0
2	29	-1.0	41.0
2	30	4.0	45.0
2	31	-1.0	44.0
2	32	4.0	48.0
2	33	-1.0	47.0
2	34	4.0	51.0
2	35	-1.0	50.0
2	36	4.0	54.0
2	37	-1.0	53.0
2	38	4.0	57.0
2	39	-1.0	56.0
2	40	4.0	60.0
2	41	-1.0	59.0
2	42	4.0	63.0
2	43	-1.0	62.0
2	44	4.0	66.0
2	45	-1.0	65.0
2	46	4.0	69.0
2	47	-1.0	68.0
2	48	4.0	72.0
2	49	-1.0	71.0
2	50	4.0	75.0
2	51	-1.0	74.0
2	52	4.0	78.0
2	53	-1.0	77.0
2	54	4.0	81.0
2	55	-1.0	80.0
2	56	4.0	84.0
2	57	-1.0	83.0
2	58	4.0	87.0
2	59	-1.0	86.0
2	60	4.0	90.0
2	61	-1.0	89.0
2	62	4.0	93.0
2	63	-1.0	92.0
2	64	4.0	96.0
2	65	-1.0	95.0
2	66	4.0	99.0
2	67	-1.0	98.0
2	68	4.0	102.0
2	69	-1.0	101.0
2	70	4.0	105.0
2	71	-1.0	104.0
2	72	4.0	108.0
2	73	-1.0	107.0
2	74	4.0	111.0
2	75	-1.0	110.0
2	76	4.0	114.0
2	77	-1.0	113.0
2	78	4.0	117.0
2	79	-1.0	116.0
2	80	4.0	120.0
2	81	-1.0	119.0
2	82	4.0	123.0
2	83	-1.0	122.0
2	84	4.0	126.0
2	85	-1.0	125.0
2	86	4.0	129.0
2	87	-1.0	128.0
2	88	-1.0	127.0
2	89	-1.0	126.0
2	90	9.0	135.0
2	91	9.0	144.0
2	92	9.0	153.0
2	93	9.0	162.0
2	94	9.0	171.0
2	95	9.0	180.0
2	96	9.0	189.0
2	97	14.0	203.0
3	98	9.0	9.0
3	99	14.0	23.0
3	100	9.0	32.0
3	101	4.0	36.0
3	102	-1.0	35.0
3	103	4.0	39.0
3	104	-1.0	38.0
3	105	4.0	42.0
3	106	-1.0	41.0
3	107	4.0	45.0
3	108	-1.0	44.0
3	109	4.0	48.0
3	110	-1.0	47.0
3	111	4.0	51.0
3	112	-1.0	50.0
3	113	4.0	54.0
3	114	-1.0	53.0
3	115	4.0	57.0
3	116	-1.0	56.0
3	117	-1.0	55.0
3	118	-1.0	54.0
3	119	9.0	63.0
3	120	9.0	72.0
3	121	9.0	81.0
3	122	14.0	95.0
3	123	9.0	104.0
3	124	-1.0	103.0
3	125	-1.0	102.0
3	126	-1.0	101.0
3	127	-1.0	100.0
3	128	-1.0	99.0
3	129	-1.0	98.0
3	130	-1.0	97.0
3	131	-1.0	96.0
3	132	-1.0	95.0
3	133	-1.0	94.0
3	134	-1.0	93.0
3	135	-1.0	92.0
3	136	-1.0	91.0
3	137	-1.0	90.0
3	138	-1.0	89.0
3	139	-1.0	88.0
3	140	-1.0	87.0
3	141	-1.0	86.0
3	142	-1.0	85.0
3	143	-1.0	84.0
3	144	-1.0	83.0
3	145	-1.0	82.0
3	146	-1.0	81.0
3	147	-1.0	80.0
3	148	-1.0	79.0
3	149	-1.0	78.0
3	150	-1.0	77.0
3	151	-1.0	76.0
3	152	-1.0	75.0
3	153	-1.0	74.0
3	154	-1.0	73.0
3	155	-1.0	72.0
3	156	-1.0	71.0
3	157	-1.0	70.0
3	158	-1.0	69.0
3	159	-1.0	68.0
3	160	-1.0	67.0
3	161	-1.0	66.0
3	162	-1.0	65.0
3	163	-1.0	64.0
3	164	-1.0	63.0
3	165	-1.0	62.0
3	166	-1.0	61.0
3	167	-1.0	60.0
3	168	-1.0	59.0
3	169	-1.0	58.0
3	170	-1.0	57.0
3	171	-1.0	56.0
3	172	-1.0	55.0
3	173	-1.0	54.0
3	174	-1.0	53.0
3	175	-1.0	52.0
3	176	-1.0	51.0
3	177	-1.0	50.0
4	178	-1.0	-1.0
4	179	14.0	13.0
5	180	9.0	9.0
5	181	14.0	23.0
5	182	9.0	32.0
5	183	4.0	36.0
5	184	-1.0	35.0
5	185	4.0	39.0
5	186	-1.0	38.0
5	187	4.0	42.0
5	188	-1.0	41.0
5	189	4.0	45.0
5	190	-1.0	44.0
5	191	4.0	48.0
5	192	-1.0	47.0
5	193	4.0	51.0
5	194	-1.0	50.0
5	195	4.0	54.0
5	196	-1.0	53.0
5	197	4.0	57.0
5	198	-1.0	56.0
5	199	4.0	60.0
5	200	-1.0	59.0
5	201	4.0	63.0
5	202	-1.0	62.0
5	203	4.0	66.0
5	204	-1.0	65.0
5	205	-1.0	64.0
5	206	-1.0	63.0
5	207	9.0	72.0
5	208	9.0	81.0
5	209	9.0	90.0
5	210	14.0	104.0
5	211	9.0	113.0
5	212	-1.0	112.0
5	213	-1.0	111.0
5	214	-1.0	110.0
5	215	-1.0	109.0
5	216	-1.0	108.0
5	217	-1.0	107.0
5	218	-1.0	106.0
5	219	-1.0	105.0
5	220	-1.0	104.0
5	221	-1.0	103.0
5	222	-1.0	102.0
5	223	-1.0	101.0
5	224	-1.0	100.0
5	225	-1.0	99.0
5	226	-1.0	98.0
5	227	-1.0	97.0
5	228	-1.0	96.0
5	229	-1.0	95.0
5	230	-1.0	94.0
5	231	-1.0	93.0
5	232	-1.0	92.0
5	233	-1.0	91.0
5	234	-1.0	90.0
5	235	-1.0	89.0
5	236	-1.0	88.0
5	237	-1.0	87.0
5	238	-1.0	86.0
5	239	-1.0	85.0
5	240	-1.0	84.0
5	241	-1.0	83.0
5	242	-1.0	82.0
5	243	-1.0	81.0
5	244	-1.0	80.0
5	245	-1.0	79.0
5	246	-1.0	78.0
5	247	-1.0	77.0
5	248	-1.0	76.0
5	249	-1.0	75.0
5	250	-1.0	74.0
5	251	-1.0	73.0
5	252	-1.0	72.0
5	253	-1.0	71.0
5	254	-1.0	70.0
5	255	-1.0	69.0
5	256	-1.0	68.0
5	257	-1.0	67.0
5	258	-1.0	66.0
5	259	-1.0	65.0
5	260	-1.0	64.0
5	261	-1.0	63.0
5	262	-1.0	62.0
5	263	-1.0	61.0
5	264	-1.0	60.0
5	265	-1.0	59.0
5	266	-1.0	58.0
5	267	-1.0	57.0
5	268	-1.0	56.0
5	269	-1.0	55.0
5	270	-1.0	54.0
5	271	-1.0	53.0
5	272	-1.0	52.0
5	273	-1.0	51.0
5	274	-1.0	50.0
5	275	-1.0	49.0
5	276	-1.0	48.0
5	277	-1.0	47.0
5	278	-1.0	46.0
5	279	-1.0	45.0
5	280	-1.0	44.0
5	281	-1.0	43.0
5	282	-1.0	42.0
5	283	-1.0	41.0
5	284	-1.0	40.0
5	285	-1.0	39.0
5	286	-1.0	38.0
5	287	-1.0	37.0
5	288	-1.0	36.0
5	289	-1.0	35.0
5	290	-1.0	34.0
5	291	-1.0	33.0
5	292	-1.0	32.0
5	293	-1.0	31.0
5	294	-1.0	30.0
5	295	-1.0	29.0
5	296	-1.0	28.0
5	297	-1.0	27.0
5	298	-1.0	26.0
5	299	-1.0	25.0
5	300	-1.0	24.0
5	301	-1.0	23.0
5	302	-1.0	22.0
5	303	-1.0	21.0
5	304	-1.0	20.0
5	305	-1.0	19.0
5	306	-1.0	18.0
5	307	-1.0	17.0
5	308	-1.0	16.0
5	309	-1.0	15.0
5	310	-1.0	14.0
5	311	-1.0	13.0
5	312	-1.0	12.0
5	313	-1.0	11.0
5	314	-1.0	10.0
5	315	-1.0	9.0
5	316	-1.0	8.0
5	317	-1.0	7.0
5	318	-1.0	6.0
5	319	-1.0	5.0
5	320	-1.0	4.0
5	321	-1.0	3.0
5	322	-1.0	2.0
5	323	-1.0	1.0
5	324	-1.0	0.0
5	325	-1.0	-1.0
5	326	-1.0	-2.0
